frame_type,frame_fulfilled,strategy1,strategy2,strategy3,strategy4,strategy5,intent,entity1,entity2,entity3,entity4,entity5,action
none,0.5,none,none,none,none,none,none,datetime,none,none,none,none,none
none,0.5,none,none,none,none,none,none,location,none,none,none,none,none
none,0,none,none,none,none,none,none,location,none,none,none,none,none
none,1,none,none,none,none,none,none,location,none,none,none,none,none
none,1,none,none,none,none,none,none,datetime,none,none,none,none,none
none,0,none,none,none,none,none,none,datetime,none,none,none,none,none
help,0.5,none,none,none,none,none,help,none,none,none,none,none,next_slot
help,0,none,none,none,none,none,help,none,none,none,none,none,next_slot
help,1,none,none,none,none,none,help,none,none,none,none,none,fulfilled
help,0.5,repetition,none,none,none,none,help,none,none,none,none,none,repetition
help,0,repetition,none,none,none,none,help,none,none,none,none,none,repetition
help,1,repetition,none,none,none,none,help,none,none,none,none,none,fulfilled
help,0.5,confirmation,none,none,none,none,help,none,none,none,none,none,confirmation
help,0,confirmation,none,none,none,none,help,none,none,none,none,none,confirmation
help,1,confirmation,none,none,none,none,help,none,none,none,none,none,fulfilled
help,0.5,further_explaination,none,none,none,none,help,none,none,none,none,none,explain_more_info
help,0,further_explaination,none,none,none,none,help,none,none,none,none,none,explain_more_info
help,1,further_explaination,none,none,none,none,help,none,none,none,none,none,fulfilled
help,0.5,summary,none,none,none,none,help,none,none,none,none,none,summary
help,0,summary,none,none,none,none,help,none,none,none,none,none,summary
help,1,summary,none,none,none,none,help,none,none,none,none,none,fulfilled
help,0.5,none,none,none,none,none,help,location,none,none,none,none,next_slot
help,0,none,none,none,none,none,help,location,none,none,none,none,next_slot
help,1,none,none,none,none,none,help,location,none,none,none,none,fulfilled
help,0.5,repetition,none,none,none,none,help,location,none,none,none,none,repetition
help,0,repetition,none,none,none,none,help,location,none,none,none,none,repetition
help,1,repetition,none,none,none,none,help,location,none,none,none,none,fulfilled
help,0.5,confirmation,none,none,none,none,help,location,none,none,none,none,confirmation
help,0,confirmation,none,none,none,none,help,location,none,none,none,none,confirmation
help,1,confirmation,none,none,none,none,help,location,none,none,none,none,fulfilled
help,0.5,further_explaination,none,none,none,none,help,location,none,none,none,none,explain_more_info
help,0,further_explaination,none,none,none,none,help,location,none,none,none,none,explain_more_info
help,1,further_explaination,none,none,none,none,help,location,none,none,none,none,fulfilled
help,0.5,summary,none,none,none,none,help,location,none,none,none,none,summary
help,0,summary,none,none,none,none,help,location,none,none,none,none,summary
help,1,summary,none,none,none,none,help,location,none,none,none,none,fulfilled
help,0.5,none,none,none,none,none,help,datetime,none,none,none,none,next_slot
help,0,none,none,none,none,none,help,datetime,none,none,none,none,next_slot
help,1,none,none,none,none,none,help,datetime,none,none,none,none,fulfilled
help,0.5,repetition,none,none,none,none,help,datetime,none,none,none,none,repetition
help,0,repetition,none,none,none,none,help,datetime,none,none,none,none,repetition
help,1,repetition,none,none,none,none,help,datetime,none,none,none,none,fulfilled
help,0.5,confirmation,none,none,none,none,help,datetime,none,none,none,none,confirmation
help,0,confirmation,none,none,none,none,help,datetime,none,none,none,none,confirmation
help,1,confirmation,none,none,none,none,help,datetime,none,none,none,none,fulfilled
help,0.5,further_explaination,none,none,none,none,help,datetime,none,none,none,none,explain_more_info
help,0,further_explaination,none,none,none,none,help,datetime,none,none,none,none,explain_more_info
help,1,further_explaination,none,none,none,none,help,datetime,none,none,none,none,fulfilled
help,0.5,summary,none,none,none,none,help,datetime,none,none,none,none,summary
help,0,summary,none,none,none,none,help,datetime,none,none,none,none,summary
help,1,summary,none,none,none,none,help,datetime,none,none,none,none,fulfilled
greeting,0.5,none,none,none,none,none,greeting,none,none,none,none,none,greeting
greeting,0,none,none,none,none,none,greeting,none,none,none,none,none,greeting
greeting,1,none,none,none,none,none,greeting,none,none,none,none,none,fulfilled
greeting,0.5,repetition,none,none,none,none,greeting,none,none,none,none,none,repetition
greeting,0,repetition,none,none,none,none,greeting,none,none,none,none,none,repetition
greeting,1,repetition,none,none,none,none,greeting,none,none,none,none,none,fulfilled
greeting,0.5,confirmation,none,none,none,none,greeting,none,none,none,none,none,confirmation
greeting,0,confirmation,none,none,none,none,greeting,none,none,none,none,none,confirmation
greeting,1,confirmation,none,none,none,none,greeting,none,none,none,none,none,fulfilled
greeting,0.5,further_explaination,none,none,none,none,greeting,none,none,none,none,none,explain_more_info
greeting,0,further_explaination,none,none,none,none,greeting,none,none,none,none,none,explain_more_info
greeting,1,further_explaination,none,none,none,none,greeting,none,none,none,none,none,fulfilled
greeting,0.5,summary,none,none,none,none,greeting,none,none,none,none,none,summary
greeting,0,summary,none,none,none,none,greeting,none,none,none,none,none,summary
greeting,1,summary,none,none,none,none,greeting,none,none,none,none,none,fulfilled
greeting,0.5,none,none,none,none,none,greeting,location,none,none,none,none,next_slot
greeting,0,none,none,none,none,none,greeting,location,none,none,none,none,next_slot
greeting,1,none,none,none,none,none,greeting,location,none,none,none,none,fulfilled
greeting,0.5,repetition,none,none,none,none,greeting,location,none,none,none,none,repetition
greeting,0,repetition,none,none,none,none,greeting,location,none,none,none,none,repetition
greeting,1,repetition,none,none,none,none,greeting,location,none,none,none,none,fulfilled
greeting,0.5,confirmation,none,none,none,none,greeting,location,none,none,none,none,confirmation
greeting,0,confirmation,none,none,none,none,greeting,location,none,none,none,none,confirmation
greeting,1,confirmation,none,none,none,none,greeting,location,none,none,none,none,fulfilled
greeting,0.5,further_explaination,none,none,none,none,greeting,location,none,none,none,none,explain_more_info
greeting,0,further_explaination,none,none,none,none,greeting,location,none,none,none,none,explain_more_info
greeting,1,further_explaination,none,none,none,none,greeting,location,none,none,none,none,fulfilled
greeting,0.5,summary,none,none,none,none,greeting,location,none,none,none,none,summary
greeting,0,summary,none,none,none,none,greeting,location,none,none,none,none,summary
greeting,1,summary,none,none,none,none,greeting,location,none,none,none,none,fulfilled
greeting,0.5,none,none,none,none,none,greeting,datetime,none,none,none,none,next_slot
greeting,0,none,none,none,none,none,greeting,datetime,none,none,none,none,next_slot
greeting,1,none,none,none,none,none,greeting,datetime,none,none,none,none,fulfilled
greeting,0.5,repetition,none,none,none,none,greeting,datetime,none,none,none,none,repetition
greeting,0,repetition,none,none,none,none,greeting,datetime,none,none,none,none,repetition
greeting,1,repetition,none,none,none,none,greeting,datetime,none,none,none,none,fulfilled
greeting,0.5,confirmation,none,none,none,none,greeting,datetime,none,none,none,none,confirmation
greeting,0,confirmation,none,none,none,none,greeting,datetime,none,none,none,none,confirmation
greeting,1,confirmation,none,none,none,none,greeting,datetime,none,none,none,none,fulfilled
greeting,0.5,further_explaination,none,none,none,none,greeting,datetime,none,none,none,none,explain_more_info
greeting,0,further_explaination,none,none,none,none,greeting,datetime,none,none,none,none,explain_more_info
greeting,1,further_explaination,none,none,none,none,greeting,datetime,none,none,none,none,fulfilled
greeting,0.5,summary,none,none,none,none,greeting,datetime,none,none,none,none,summary
greeting,0,summary,none,none,none,none,greeting,datetime,none,none,none,none,summary
greeting,1,summary,none,none,none,none,greeting,datetime,none,none,none,none,fulfilled
ask_japan,0.5,none,none,none,none,none,ask_japan,none,none,none,none,none,next_slot
ask_japan,0,none,none,none,none,none,ask_japan,none,none,none,none,none,next_slot
ask_japan,1,none,none,none,none,none,ask_japan,none,none,none,none,none,fulfilled
ask_japan,0.5,repetition,none,none,none,none,ask_japan,none,none,none,none,none,repetition
ask_japan,0,repetition,none,none,none,none,ask_japan,none,none,none,none,none,repetition
ask_japan,1,repetition,none,none,none,none,ask_japan,none,none,none,none,none,fulfilled
ask_japan,0.5,confirmation,none,none,none,none,ask_japan,none,none,none,none,none,confirmation
ask_japan,0,confirmation,none,none,none,none,ask_japan,none,none,none,none,none,confirmation
ask_japan,1,confirmation,none,none,none,none,ask_japan,none,none,none,none,none,fulfilled
ask_japan,0.5,further_explaination,none,none,none,none,ask_japan,none,none,none,none,none,explain_more_info
ask_japan,0,further_explaination,none,none,none,none,ask_japan,none,none,none,none,none,explain_more_info
ask_japan,1,further_explaination,none,none,none,none,ask_japan,none,none,none,none,none,fulfilled
ask_japan,0.5,summary,none,none,none,none,ask_japan,none,none,none,none,none,summary
ask_japan,0,summary,none,none,none,none,ask_japan,none,none,none,none,none,summary
ask_japan,1,summary,none,none,none,none,ask_japan,none,none,none,none,none,fulfilled
ask_japan,0.5,none,none,none,none,none,ask_japan,datetime,none,none,none,none,next_slot
ask_japan,0,none,none,none,none,none,ask_japan,datetime,none,none,none,none,next_slot
ask_japan,1,none,none,none,none,none,ask_japan,datetime,none,none,none,none,fulfilled
ask_japan,0.5,repetition,none,none,none,none,ask_japan,datetime,none,none,none,none,repetition
ask_japan,0,repetition,none,none,none,none,ask_japan,datetime,none,none,none,none,repetition
ask_japan,1,repetition,none,none,none,none,ask_japan,datetime,none,none,none,none,fulfilled
ask_japan,0.5,confirmation,none,none,none,none,ask_japan,datetime,none,none,none,none,confirmation
ask_japan,0,confirmation,none,none,none,none,ask_japan,datetime,none,none,none,none,confirmation
ask_japan,1,confirmation,none,none,none,none,ask_japan,datetime,none,none,none,none,fulfilled
ask_japan,0.5,further_explaination,none,none,none,none,ask_japan,datetime,none,none,none,none,explain_more_info
ask_japan,0,further_explaination,none,none,none,none,ask_japan,datetime,none,none,none,none,explain_more_info
ask_japan,1,further_explaination,none,none,none,none,ask_japan,datetime,none,none,none,none,fulfilled
ask_japan,0.5,summary,none,none,none,none,ask_japan,datetime,none,none,none,none,summary
ask_japan,0,summary,none,none,none,none,ask_japan,datetime,none,none,none,none,summary
ask_japan,1,summary,none,none,none,none,ask_japan,datetime,none,none,none,none,fulfilled
ask_japan,0.5,none,none,none,none,none,ask_japan,location,none,none,none,none,next_slot
ask_japan,0,none,none,none,none,none,ask_japan,location,none,none,none,none,next_slot
ask_japan,1,none,none,none,none,none,ask_japan,location,none,none,none,none,fulfilled
ask_japan,0.5,repetition,none,none,none,none,ask_japan,location,none,none,none,none,repetition
ask_japan,0,repetition,none,none,none,none,ask_japan,location,none,none,none,none,repetition
ask_japan,1,repetition,none,none,none,none,ask_japan,location,none,none,none,none,fulfilled
ask_japan,0.5,confirmation,none,none,none,none,ask_japan,location,none,none,none,none,confirmation
ask_japan,0,confirmation,none,none,none,none,ask_japan,location,none,none,none,none,confirmation
ask_japan,1,confirmation,none,none,none,none,ask_japan,location,none,none,none,none,fulfilled
ask_japan,0.5,further_explaination,none,none,none,none,ask_japan,location,none,none,none,none,explain_more_info
ask_japan,0,further_explaination,none,none,none,none,ask_japan,location,none,none,none,none,explain_more_info
ask_japan,1,further_explaination,none,none,none,none,ask_japan,location,none,none,none,none,fulfilled
ask_japan,0.5,summary,none,none,none,none,ask_japan,location,none,none,none,none,summary
ask_japan,0,summary,none,none,none,none,ask_japan,location,none,none,none,none,summary
ask_japan,1,summary,none,none,none,none,ask_japan,location,none,none,none,none,fulfilled
book_hotel,0.5,none,none,none,none,none,book_hotel,none,none,none,none,none,next_slot
book_hotel,0,none,none,none,none,none,book_hotel,none,none,none,none,none,next_slot
book_hotel,1,none,none,none,none,none,book_hotel,none,none,none,none,none,fulfilled
book_hotel,0.5,repetition,none,none,none,none,book_hotel,none,none,none,none,none,repetition
book_hotel,0,repetition,none,none,none,none,book_hotel,none,none,none,none,none,repetition
book_hotel,1,repetition,none,none,none,none,book_hotel,none,none,none,none,none,fulfilled
book_hotel,0.5,confirmation,none,none,none,none,book_hotel,none,none,none,none,none,confirmation
book_hotel,0,confirmation,none,none,none,none,book_hotel,none,none,none,none,none,confirmation
book_hotel,1,confirmation,none,none,none,none,book_hotel,none,none,none,none,none,fulfilled
book_hotel,0.5,further_explaination,none,none,none,none,book_hotel,none,none,none,none,none,explain_more_info
book_hotel,0,further_explaination,none,none,none,none,book_hotel,none,none,none,none,none,explain_more_info
book_hotel,1,further_explaination,none,none,none,none,book_hotel,none,none,none,none,none,fulfilled
book_hotel,0.5,summary,none,none,none,none,book_hotel,none,none,none,none,none,summary
book_hotel,0,summary,none,none,none,none,book_hotel,none,none,none,none,none,summary
book_hotel,1,summary,none,none,none,none,book_hotel,none,none,none,none,none,fulfilled
book_hotel,0.5,none,none,none,none,none,book_hotel,datetime,none,none,none,none,next_slot
book_hotel,0,none,none,none,none,none,book_hotel,datetime,none,none,none,none,next_slot
book_hotel,1,none,none,none,none,none,book_hotel,datetime,none,none,none,none,fulfilled
book_hotel,0.5,repetition,none,none,none,none,book_hotel,datetime,none,none,none,none,repetition
book_hotel,0,repetition,none,none,none,none,book_hotel,datetime,none,none,none,none,repetition
book_hotel,1,repetition,none,none,none,none,book_hotel,datetime,none,none,none,none,fulfilled
book_hotel,0.5,confirmation,none,none,none,none,book_hotel,datetime,none,none,none,none,confirmation
book_hotel,0,confirmation,none,none,none,none,book_hotel,datetime,none,none,none,none,confirmation
book_hotel,1,confirmation,none,none,none,none,book_hotel,datetime,none,none,none,none,fulfilled
book_hotel,0.5,further_explaination,none,none,none,none,book_hotel,datetime,none,none,none,none,explain_more_info
book_hotel,0,further_explaination,none,none,none,none,book_hotel,datetime,none,none,none,none,explain_more_info
book_hotel,1,further_explaination,none,none,none,none,book_hotel,datetime,none,none,none,none,fulfilled
book_hotel,0.5,summary,none,none,none,none,book_hotel,datetime,none,none,none,none,summary
book_hotel,0,summary,none,none,none,none,book_hotel,datetime,none,none,none,none,summary
book_hotel,1,summary,none,none,none,none,book_hotel,datetime,none,none,none,none,fulfilled
book_hotel,0.5,none,none,none,none,none,book_hotel,location,none,none,none,none,next_slot
book_hotel,0,none,none,none,none,none,book_hotel,location,none,none,none,none,next_slot
book_hotel,1,none,none,none,none,none,book_hotel,location,none,none,none,none,fulfilled
book_hotel,0.5,repetition,none,none,none,none,book_hotel,location,none,none,none,none,repetition
book_hotel,0,repetition,none,none,none,none,book_hotel,location,none,none,none,none,repetition
book_hotel,1,repetition,none,none,none,none,book_hotel,location,none,none,none,none,fulfilled
book_hotel,0.5,confirmation,none,none,none,none,book_hotel,location,none,none,none,none,confirmation
book_hotel,0,confirmation,none,none,none,none,book_hotel,location,none,none,none,none,confirmation
book_hotel,1,confirmation,none,none,none,none,book_hotel,location,none,none,none,none,fulfilled
book_hotel,0.5,further_explaination,none,none,none,none,book_hotel,location,none,none,none,none,explain_more_info
book_hotel,0,further_explaination,none,none,none,none,book_hotel,location,none,none,none,none,explain_more_info
book_hotel,1,further_explaination,none,none,none,none,book_hotel,location,none,none,none,none,fulfilled
book_hotel,0.5,summary,none,none,none,none,book_hotel,location,none,none,none,none,summary
book_hotel,0,summary,none,none,none,none,book_hotel,location,none,none,none,none,summary
book_hotel,1,summary,none,none,none,none,book_hotel,location,none,none,none,none,fulfilled
book_flight,0.5,none,none,none,none,none,book_flight,none,none,none,none,none,next_slot
book_flight,0,none,none,none,none,none,book_flight,none,none,none,none,none,next_slot
book_flight,1,none,none,none,none,none,book_flight,none,none,none,none,none,fulfilled
book_flight,0.5,repetition,none,none,none,none,book_flight,none,none,none,none,none,repetition
book_flight,0,repetition,none,none,none,none,book_flight,none,none,none,none,none,repetition
book_flight,1,repetition,none,none,none,none,book_flight,none,none,none,none,none,fulfilled
book_flight,0.5,confirmation,none,none,none,none,book_flight,none,none,none,none,none,confirmation
book_flight,0,confirmation,none,none,none,none,book_flight,none,none,none,none,none,confirmation
book_flight,1,confirmation,none,none,none,none,book_flight,none,none,none,none,none,fulfilled
book_flight,0.5,further_explaination,none,none,none,none,book_flight,none,none,none,none,none,explain_more_info
book_flight,0,further_explaination,none,none,none,none,book_flight,none,none,none,none,none,explain_more_info
book_flight,1,further_explaination,none,none,none,none,book_flight,none,none,none,none,none,fulfilled
book_flight,0.5,summary,none,none,none,none,book_flight,none,none,none,none,none,summary
book_flight,0,summary,none,none,none,none,book_flight,none,none,none,none,none,summary
book_flight,1,summary,none,none,none,none,book_flight,none,none,none,none,none,fulfilled
book_flight,0.5,none,none,none,none,none,book_flight,datetime,none,none,none,none,next_slot
book_flight,0,none,none,none,none,none,book_flight,datetime,none,none,none,none,next_slot
book_flight,1,none,none,none,none,none,book_flight,datetime,none,none,none,none,fulfilled
book_flight,0.5,repetition,none,none,none,none,book_flight,datetime,none,none,none,none,repetition
book_flight,0,repetition,none,none,none,none,book_flight,datetime,none,none,none,none,repetition
book_flight,1,repetition,none,none,none,none,book_flight,datetime,none,none,none,none,fulfilled
book_flight,0.5,confirmation,none,none,none,none,book_flight,datetime,none,none,none,none,confirmation
book_flight,0,confirmation,none,none,none,none,book_flight,datetime,none,none,none,none,confirmation
book_flight,1,confirmation,none,none,none,none,book_flight,datetime,none,none,none,none,fulfilled
book_flight,0.5,further_explaination,none,none,none,none,book_flight,datetime,none,none,none,none,explain_more_info
book_flight,0,further_explaination,none,none,none,none,book_flight,datetime,none,none,none,none,explain_more_info
book_flight,1,further_explaination,none,none,none,none,book_flight,datetime,none,none,none,none,fulfilled
book_flight,0.5,summary,none,none,none,none,book_flight,datetime,none,none,none,none,summary
book_flight,0,summary,none,none,none,none,book_flight,datetime,none,none,none,none,summary
book_flight,1,summary,none,none,none,none,book_flight,datetime,none,none,none,none,fulfilled
book_flight,0.5,none,none,none,none,none,book_flight,location,none,none,none,none,next_slot
book_flight,0,none,none,none,none,none,book_flight,location,none,none,none,none,next_slot
book_flight,1,none,none,none,none,none,book_flight,location,none,none,none,none,fulfilled
book_flight,0.5,repetition,none,none,none,none,book_flight,location,none,none,none,none,repetition
book_flight,0,repetition,none,none,none,none,book_flight,location,none,none,none,none,repetition
book_flight,1,repetition,none,none,none,none,book_flight,location,none,none,none,none,fulfilled
book_flight,0.5,confirmation,none,none,none,none,book_flight,location,none,none,none,none,confirmation
book_flight,0,confirmation,none,none,none,none,book_flight,location,none,none,none,none,confirmation
book_flight,1,confirmation,none,none,none,none,book_flight,location,none,none,none,none,fulfilled
book_flight,0.5,further_explaination,none,none,none,none,book_flight,location,none,none,none,none,explain_more_info
book_flight,0,further_explaination,none,none,none,none,book_flight,location,none,none,none,none,explain_more_info
book_flight,1,further_explaination,none,none,none,none,book_flight,location,none,none,none,none,fulfilled
book_flight,0.5,summary,none,none,none,none,book_flight,location,none,none,none,none,summary
book_flight,0,summary,none,none,none,none,book_flight,location,none,none,none,none,summary
book_flight,1,summary,none,none,none,none,book_flight,location,none,none,none,none,fulfilled